,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IDH2-DT,3.31,2.726,3.412,3.84,6.435,3.333,2.59,5.618,5.205,3.872,1.402,4.395,4.423,2.846,3.3,6.257,3.724,5.189
IDH3A,2.004,3.292,3.492,3.975,3.25,3.076,2.468,4.211,6.744,3.053,1.428,1.997,3.929,1.644,0.8196,2.206,4.283,5.34
IDH3B,18.35,23.96,27.02,24.79,28.59,17.6,14.19,24.29,42.3,18.38,12.38,14.97,26.53,13.27,13.56,21.41,34.69,21.71
IDH3G,26.1,33.62,35.29,35.56,43.23,24.66,24.5,42.61,60.08,25,19.25,26.12,36.53,16.06,22.6,34.42,41.52,39.33
IDI1,6.685,5.02,4.47,4.098,5.145,2.595,2.688,6.116,12.03,5.557,2.652,5.623,4.147,2.287,1.158,3.96,6.139,5.463
IDI2,0.4986,1.059,1.123,0.4435,1.177,0.2177,0.1579,0.4567,1.058,0.3728,0.2797,0.1237,0.56,0.274,0.2497,0,0.6411,0.7855
IDI2-AS1,1.406,0.7769,1.102,1.229,1.087,0.8597,0.8614,1.542,2.638,1.472,0.5329,0.8995,1.422,0.5124,0.346,0.6606,1.749,1.02
IDNK,0.82,1.064,1.177,0.8216,1.194,0.6568,0.5798,1.156,1.322,1.051,0.5089,0.72,0.9263,0.609,0.2395,0.8328,1.511,1.026
IDO1,6.895,5.209,3.478,7.427,38.31,0.8303,5.269,17,24.9,1.148,4.923,7.74,19.67,1.969,3.785,5.968,4.231,15.36
IDO2,0,0.1842,0,0.0437,0.0773,0.2831,0.04667,0.2025,0.1876,0.04407,0.05511,0.268,0.1839,0,0.0246,0.1503,0.09474,0.07738
IDS,43.15,43.7,33.91,68.44,50.91,39.99,35.13,54.27,135.4,47.9,24.21,25.01,38.86,25.42,19.7,44.37,62.91,36.4
